line,division,num_passengers,additional platform time,additional train time,over_five_mins_perc,wait assessment,service delivered,terminal_on_time_performance,Percent Late,infra_critical,noninfra_critical,infra_noncritical,noninfra_noncritical
1,A,11835657.0,0.8519514,0.55915325,0.08669927,0.763431525,0.982662705,0.8228496000000001,0.037705044,4,1,2282,1049
2,A,7686449.5,1.1443002,0.5599256450000001,0.137992605,0.6642380750000001,0.9392051699999999,0.7159579,0.042829379,4,4,2187,1570
3,A,5991257.0,0.7963751649999999,0.5513992999999999,0.102887618,0.7017032000000001,0.948493525,0.811623515,0.0355611255,3,2,1279,992
4,A,8645926.8,0.88217307,0.53036113,0.120673805,0.678916175,0.960760355,0.8093126799999999,0.030185276000000004,8,1,1645,1259
5,A,7388072.6,0.9987821,0.49622807,0.124684875,0.6470090500000001,0.914605635,0.78496739,0.0356571935,2,4,1407,1476
6,A,12414366.0,1.1352443,0.593191325,0.11599728000000001,0.70951285,0.95981403,0.84181017,0.032782755,1,11,1834,1775
7,A,10437489.5,1.0755957999999999,0.54218522,0.09620973,0.687132575,0.925502715,0.920090525,0.039702799999999996,3,2,1448,627
SG,A,1408022.46,0.38464064,-0.18673430000000002,0.0011249433500000001,0.98482873,0.9987327349999999,0.9990777,0.0,0,0,3,16
A,B,9342499.0,1.1466301,0.41692792,0.13658232,0.6595974849999999,0.95351078,0.81799504,0.0332550815,1,1,2149,718
B,B,5887042.8,2.0705641,1.134213585,0.23164644,0.593112365,0.88076902,0.6384484450000001,0.056799235000000003,2,5,2303,894
C,B,4910432.8,1.73554005,0.41291385999999997,0.16505826,0.684154245,0.92601043,0.72716497,0.055110134,2,0,1761,731
D,B,6015274.0,1.7775644,0.8430465,0.21624713,0.6236413999999999,0.89134975,0.7571159000000001,0.037399619999999995,7,1,2436,596
E,B,9294995.5,1.3576608000000001,-0.27162768,0.12580601,0.5561896500000001,0.84607718,0.7683627,0.029282880499999997,12,1,3206,653
F,B,10597401.0,1.9064983,-0.25693716,0.179816545,0.52815807,0.846782715,0.68046333,0.045466751,13,2,4171,958
G,B,3526098.0999999996,1.23308465,1.1920476999999998,0.19938864,0.759331175,0.9580067000000001,0.7348228800000001,0.1158830675,0,0,2882,473
JZ,B,3336715.6,1.1565625,0.47237971,0.17527548,0.7694143,0.97304583,0.890277315,0.0,1,0,968,370
L,B,7285290.0,1.48744265,0.657169225,0.104997278,0.7233897300000001,0.96879615,0.90316703,0.034836723,2,3,1410,740
M,B,4991645.2,1.91197815,0.06008877750000001,0.20477961,0.6938238,0.94767137,0.86964475,0.027752660999999998,2,0,1031,492
N,B,6454025.0,1.6454623,0.33552281500000003,0.16777163,0.63541483,0.91781902,0.7780526249999999,0.0,5,1,3408,894
Q,B,7843526.5,1.3065136000000002,0.8368392,0.19483974999999998,0.690166185,0.947554235,0.79613175,0.07562468,1,1,1738,975
R,B,9070156.5,2.2835864,-0.0389873365,0.21933738,0.36248501,0.7296999200000001,0.71499676,0.031624573,13,2,3152,325
SF,B,390166.92000000004,0.32545917,0.0107852815,0.044129895,0.994015925,0.99737505,0.99329405,0.0,0,0,46,21
